,引越し時期,タイトル,評価,口コミ,現在地,引越し先,依頼作業開始時間,電話・メール対応,見積もり対応,作業員,サービス,家具量,家電量,ダンボール,見積もり比較社数
22,2023-05-24,人によって異なりますが、とても親切でした。,4.25,【見積もり時の対応】女性の一人暮らしの部屋に、女性の営業さんが来られて安心しました。【料金】値引きしてくださって希望の価格になりました。【作業内容】丁寧で、家具の埃を拭いてくださりました。更に不調だった家具の修理をしてくださり助かりました。また、自分で取り付けしようと思ってた照明も軽々と取り付けてくださり、忙しい荷解きの時間に手間が省けました。【全体的な評価】とても良かったです。【良かった点】家具のネジが緩んでいたり、動作が悪くなっていたスライド部分を直してくださりました。【気になった点】恐らく作業員によってサービスのムラがあるかもしれないなと思いました。【見積もり時の対応】特に可もなく不可もなくです。【料金】満足してます。【作業内容】丁寧にスピーディに運んでくださりました。,宮城,神奈川,いつでも,4,4,5,4,2,4,15,8
23,2023-04-30,電話での説明がわかりやすい,3.5,まず、一番良かったことは最初の電話対応で価格の目安や、作業の流れなどを説明してくれたこと。トラックや作業員の手配もあると思いますので、最初の電話でこちらの意思を固めてくれるアプローチは、こちらにも、引越し業者側にもメリットがあると感じました。他社の最初の電話はオペレーターの方がスケジュールを確保するだけの電話でしたが、最初から「引越し業務が理解できているプロ」が電話をしてくれて、その場で概算見積もりや、トラックのサイズ、１日の作業時間の流れなどのイメージを話してくれたのはとても安心につながりました。見積もりに来て頂いた担当者は電話の内容をきちんと把握されていて、再度説明したり、電話の内容と異なることが無く、スムーズでしたし会社として信用できました。最終的に当日の作業は計画通り進み滞りなく引越しが完了しました。当日の作業は可もなく不可もなく。と、いった印象でした。総合的に満足なのは、やはり最初の電話での対応に尽きると思います。ありがとうございました。,愛知,愛知,いつでも,4,4,3,3,11,7,20,4
24,2023-04-30,120点満点の素晴らしい対応でした,5.0,【見積もり時の対応】経由地という特異事項に対しても、柔軟に対応し、より良い提案をして頂いた。【料金】三社比較のうち、最高値の約半額でした。【作業内容】迅速・丁寧で安心な作業でした。【全体的な評価】120点【良かった点】営業・作業員共に満点です。【気になった点】特になし,三重,三重,いつでも,5,5,5,5,2,1,40,5
25,2023-03-31,丁寧でよかった。知名度は低いが対応はよかった。,4.5,【見積もり時の対応】すぐにかけつけてくれた。【料金】時期が繁忙期なので高かったが、相場がよく分からないのでしかたないかも。他社よりは安かった。【作業内容】丁寧でよかった。【全体的な評価】よかった。【良かった点】責任者がしっかりしてた。うまくメンバーを活用してた。【気になった点】とくになし。,大阪,大阪,いつでも,4,4,5,5,3,5,30,5
35,2023-03-31,親切でした。,4.75,生まれて初めての引越しで右も左もわからない状態でしたが、見積もり時から親切にご対応いただきました。時期的にもお忙しい中タイミングにも関わらず、お時間なども融通きかせていただきありがとうございました。,愛知,愛知,いつでも,4,5,5,5,3,4,5,5
36,2023-03-30,親切丁寧でした,5.0,【見積もり時の対応】わざわざ遠方からでしたが時間通りに来て頂き、他社を悪く言うことなくご案内していただけたことがとても好印象でした。【料金】初めてで相場もよくわかっておらず他社との比較も出来ずでしたが、良心的な金額を提示して頂き助かりました。【作業内容】無駄がなく、迅速丁寧な対応で感心しました。【全体的な評価】先に他社にも見積もりを依頼していましたが｢ここで決めて頂かないと｣と少し強引な言動や、他社を批判するような言動があり、それに比べ後から来ていただいた業者さんは他社を悪く言うことなく自社をアピールし、好印象で信頼できる業者さんだと感じたので依頼を決めました。ちなみに先の業者さんにキャンセルの連絡をした際に、かなり下げた金額を改めて提示されましたが、それはそれで逆に不信感を感じてしまいました。,長野,長野,いつでも,5,5,5,5,3,0,0,6
32,2023-03-30,これまで利用した会社と同等以上でした,5.0,これまで3社ほど利用しましたが、サービス内容は同等でありながら料金は2/3ほどでした。作業員の方も対応やスピードも申し分なくとても満足しています。日程がタイトでしたので、短時間で比較できたことも満足度向上に貢献していると思います。,愛知,三重,いつでも,5,5,5,5,1,5,15,6
31,2023-03-29,真摯に対応していただき仕事も丁寧でした,4.75,繁忙期の引っ越しのため、電話の時点で断られることもあったが、訪問見積もりを即日行ってもらえたため、とてもありがたかった。初めて引越しを業者に頼んだため不安だったが、引越し作業も丁寧で、安心して任せることができた。,宮城,宮城,いつでも,4,5,5,5,5,6,15,7
34,2023-03-29,迅速、丁寧でした！,4.0,【見積もり時の対応】申し込み翌日に訪問査定をしてくれたのと、見積もりの相談にも乗ってくれて大変助かりました。【料金】ハイシーズンのため、他社では納得のいく金額がなかなか出なかったなか、納得のいく金額を提示してくれました。【作業内容】当日は時間通りに荷出し作業が開始、終了しました。また、作業もとても丁寧にしてくれたので、安心しておまかせすることができました。荷入れも細かい家具の配置等や、荷開きのアドバイスなどもしてくれて、大変助かりました。【全体的な評価】見積もりから引っ越し当日まで、丁寧にフォローをしていただき、安心して引っ越しができ、幸先の良い新生活のスタートを切ることができました！【良かった点】全体を通して、大変良かったです。【気になった点】特段ありませんでした。欲を言えば、引っ越し後のダンボール回収サービスがあれば、なお良かったです。,東京,東京,いつでも,4,4,4,4,9,16,40,8
37,2023-03-28,良い引越し業者,4.75,今回初めての引越し業者での依頼でした！サイト見積もり依頼をして、最初に掛かってきた4件からえらぼうときめてました。最初の見積もりで繁忙期の中どこも引越し費用が高く渋っていたらアークさんわ出来る限り予算のことを考えてくれて1番理想の金額のプランを提示していただきました！お値段を聞いて即決めしました（笑）,大阪,大阪,いつでも,5,5,5,4,3,3,20,5
