,引越し時期,タイトル,評価,口コミ,現在地,引越し先,依頼作業開始時間,電話・メール対応,見積もり対応,作業員,サービス,家具量,家電量,ダンボール,見積もり比較社数
17,2023-08-26,全ての対応が良かったと思います。,4.0,電話対応は他社に比べて1番良かったです。他社は電話のみで大体の金額を出していましたが、アートさんは桐たんすと言うこともあり実際に見てからの方が確実に判断するとの事で営業の方が来てくれました。見積は1番安い訳では無かったのですが、受付、営業マン等の対応が1番信頼できると判断して決めました。,埼玉,神奈川,午前,4,4,4,4,1,0,0,5
19,2023-08-25,0123あ−と引越しセンター,4.5,良かった点引越し先に、荷物を納めるのに、苦労されたとおもいますが、いやな顔せず、頑張って下さいました。感想荷物をスピィーディに運んでくれてこちらの方も助かってたいう気持ちになりました。,滋賀,滋賀,午前,4,4,5,5,1,2,10,7
21,2023-08-25,心配なことがたくさんありましたが丁寧な対応でした,5.0,引っ越しの条件が色々心配なことや初めての事がたくさんあり、お電話でいろんな質問をさせていただきましたがどの質問にもテキパキと親切に答えていただけました。何度かお電話した時もいつも丁寧なご対応だったので安心しておまかせできそうな印象です。引っ越し先がタワーマンションなのですが以前にも同じマンションへ実績がありますという事だったのも心強く感じました。他の会社さんには訪問で見積もりいただきましたが訪問しない方が金額を下げれますというアドバイスをもらってそれならばこのままでお見積もりをお願いしますというお話もできました。話していくうちに諸々サービスもしていただき金額面も対応も満足です。,東京,神奈川,午前,5,5,5,5,4,0,15,5
26,2023-08-23,信頼出来る業者,4.25,ここ３年で引越しを4回し、いつも会社手配の決まった会社だったが、今回は個人手配だったのでいつもラジオから流れてくる引越し侍で一括見積もりをしてみることにした。結果的に予定より少し安くなったが、引越し会社からの提案で、引越し日に余裕があったので、当初予定していた月末から安い日程で引越しすることになった。作業はとてもスムーズで、前回搬入した会社が30分かけて苦労して入れた学習机も搬出は5分で完了した。引越し元から引越し先は近隣で、引越し先は狭い道の物件だったので小型車の2往復で実施したが所要時間は4時間程度だった。引越し業者のサービスで、家電販売があり、物件が3階建ての2階にキッチンの物件で、冷蔵庫は買い替えした時にクレーン手配が必要になるから買い替え時期だから購入した方が良いとアドバイスしてくれ、買い替えすることにした。トータルで良い業者だった。,三重,三重,午前,4,4,4,5,9,6,30,5
34,2023-08-22,しっかりと引越ししていただけました。,5.0,アートさんは最初の見積り時で価格が一番安く、見積りも丁寧だった。他社さんも安くしてもらえる可能性があったが、今すぐ決めてくれと粘り強く居座り、よその見積もりも聞きたいと10回くらい言ったと思う。その点、対応していただいた方はこちらの意思を伝えたらそれなりの時間で帰ってもらった。引き際も重要だと思う。実際の引越しは暑い中丁寧にしていただきました。休憩を入れる際は都度連絡を入れてこられ、丁寧過ぎる対応でした。見積りも現場も担当の人次第で、人との相性もあるので一概には言えないと思いますが、今回はしっかりしていただきましたので、他の人に聞かれたらおすすめできると答えることができる対応でした。,広島,広島,午前,5,5,5,5,7,5,50,4
29,2023-08-21,若い作業員が多い,3.5,【良かった点】・訪問見積もりサービスを利用したため、料金交渉ができた・サービスや当日までの片付けの目安が記載された冊子を訪問時に頂けたことで、引越し日までのスケジュール感に安心がもてた【改善して欲しかった点】・作業員が皆若く、荷物に対する配慮が少し欠けていた点が残念に感じた。例えばPC等取扱注意と記載したダンボールの上に重い荷物を置いたりなど、荷物の配置について事務作業的なところが見られた。・作業員指名サービスが無料となっていたため指名をお願いしたにもかかわらず、実際利用をお断りされたこと。,福岡,栃木,午前,4,4,3,3,2,5,15,5
32,2023-08-21,主人がいる時といない時の態度が違う,3.25,最初にきた業者が訪問見積時に即決しろと強要。次の訪問見積業者にその場で断わりの電話を入れろと言われ、なすがままにするしかなかった。後からくる業者は電話で概算でかなり安い金額（約半額に近い）を提示してくれたが断るしかなく家に向かっていたのに申し訳なかった。決めた業者に当日梱包も費用を払うのでお願いしたいと支店に電話し、引っ越し担当者にも電話で伝えていたが電話対応は無機質であまりいい印象はなかった。始まった時も荷造りが完璧でなかったので愚痴を言ってるのも筒抜け。荷物の運び出しが始まってから主人がきたら途端にニコニコして態度を180度変えてた。次はこの業者は使いたくない。,茨城,茨城,午前,4,4,2,3,8,6,80,4
46,2023-08-20,馴れているという印象,4.0,一生懸命誠意を持ってやってくださったと思う。たぶんバイトの方だと思うが、チェストを運ぶとき2度ほど床をこすったのが気になった。他の業者で引っ越したときは、大きな家具を運ぶ時は家具の下に毛布などを敷いていたけれどそういう配慮はされなかった。リフォームでフローリングをやりかえたばかりの家だったので、傷がつきそうで嫌だった。,広島,広島,午前,4,4,4,4,4,0,0,6
31,2023-08-20,顧客に対し誠実で丁寧、確実な対応をして下さる。,5.0,見積もり依頼、それ以降も何度か運び出す品目について問い合わせをしましたが、どなたが電話に出られてもいつもとても感じよく、細かい質問にも丁寧に誠実に対応してくださり、感謝しています。当日は、ご近所への挨拶から始まり、とても心ある方々で信頼できました。全てにおいてきちんと教育を受けていらっしゃると思いました。引越し先での受け取り時、一つ一つの荷物の番号を相互に確認しながら運び入れてくださるのはとてもいいシステムだと思います。安心できました。今回、長距離の引越しで当初は色々不安事項がたくさんあったのですが、事前に質問や相談ができたこと、また混載便でも、確実に引き取り日と、届け日を確定していただけたことで、この点においてはかなり助かりました。やはり引越しは当日の運び出しや、現地での運び入れの部分だけでなく、電話だけとはいえ見積もりや事前の質問や相談に、いかに誠実に丁寧に応じてくださるかも鍵だと思います。アートさんはそこが他社と大きく違って素晴らしいところでした。現場でのスタッフさんも声をかけやすく忙しい作業の中、随時質問に応じてくださり、とてもよかったです。お世話になりました。,東京,高知,午前,5,5,5,5,1,4,10,3
30,2023-08-20,大手ならではの安心感があった,4.25,単身、1Ｋの部屋からの引っ越しということで電話見積りで対応してもらった。細かい相談（ダンボールの数とか）や価格交渉も丁寧に対応してもらえたのと、大手ならではのサービスで当日も安心感を持ってまかせられた。ダンボールは当日担当してくれたスタッフさんの名刺にある支店番号に電話して依頼したら無料で対応してくれました。引っ越しマイページがあり、前日までのやりとりはオンラインでできて電話やりとりが少なく済んだのも良かった。,東京,東京,午前,3,5,5,4,2,2,15,0
41,2023-08-20,明るく対応が素晴らしい,5.0,今回はアート引越センターさんを利用させていただきました。他社の見積りよりも2万円ほどお安くなった為、契約しました。引越準備の流れから引越先の流れまで丁寧に教えてくださりイメージが湧きやすかった。また、引越し後のダンボール回収や1年間家具の移動無料等、他社のサービスではあまりないサービスを行っており手が痒いところもサービスしてくれている印象です。このサービスは今後是非とも続けてくれると有り難いと思います。少し残念だったことは、引越し前の食器用ダンボール？を原則3日前にお届けなのですが、ちょうどお盆で帰省するため1週間前には欲しいと連絡してみましたが、在庫が少ないようで3日前からじゃないと届けてくれなかった点です。人それぞれ事情があると思うので食器用ダンボール？を増やしてみてはいかがでしょうか。,北海道,北海道,午前,5,5,5,5,3,0,0,9
42,2023-08-20,接客が良くテキパキ動いてたので凄いなと思った,5.0,女性のスタッフと男性のスタッフ二人が来てくれたのですが。とても良いチームワークで凄く迅速に作業を行っていただいたので感心しました。また、一度引っ越し部屋に荷物を置いてもらったのですがいらない荷物だったので一階まで下ろしてもらったときの対応が嫌な顔せず笑顔で良いですよと言われたので凄く良い印象をもちました悪かった点はなく。探しても探しても出てこない。ので凄くよいいんしょうをもった引っ越しかいしゃなので引っ越す時はつかいたいなとかんじました,香川,香川,午前,5,5,5,5,5,5,60,4
44,2023-08-19,当日の引越担当の方は感じも仕事ぶりも良かった。、,4.5,-自分が思っていた程度の金額に抑えることができました。-大体の相場を知りたく、ネット上で簡単に各社の見積りが知れると思ったのですが、登録した途端に各社から電話の嵐だったのは大変でした。-今後当サービスを利用する方へ、あまり多くの業者とアイミツすると大変ですので、ある程度３、４社程度に絞った方が良いと思います。どの程度安くできるかは依頼者の交渉スキルにもよりますが、自分で選ぶよりかは確実に安くできると思います。,福岡,福岡,午前,4,4,5,5,1,0,0,8
25,2023-08-18,丁寧、迅速で頼んでよかった,4.5,見積り価格が他社と比べて格段に安く、不安なくらいだったが、理由をちゃんと説明してくれたし、安いからといって仕事が雑だったとも感じることもなく、作業中も愛想よく対応してくれて、気分が良かった。頼んでよかった。,栃木,栃木,午前,4,4,5,5,11,7,40,4
43,2023-08-17,とにかく対応が良かった！,5.0,【見積もり時の対応】親切丁寧な対応だった【料金】他社より少しでも安してくれた【作業内容】臨機応変に対応してくれて本当に助かった【全体的な評価】【良かった点】スタッフ全員対応が良かった【気になった点】なし,千葉,千葉,午前,5,5,5,5,1,3,0,4
27,2023-08-15,信頼できる。,5.0,単身で荷物もとても少なかったのですが、忙しくまったく引越しの準備ができなかったので慌てて直前に依頼しました。それなのに、希望日時にリーズナブルに対応してくれて感謝です。作業員の方達もとても親切丁寧でした。,東京,愛知,午前,5,5,5,5,1,0,5,8
23,2023-08-15,普通,3.0,今回が同社で２回目の利用だったが、今回は出発地と到着地の両方で部屋に傷を付けられてしまった。また、家財も一部損害を受けた。それに加えて一部の社員はバイトに対する言葉遣いが悪く不快感を感じた。以上の事から同社は２度と利用しない。1回目が好印象だったので非常に残念。,神奈川,福岡,午前,3,3,3,3,5,8,20,5
