,引越し時期,タイトル,評価,口コミ,現在地,引越し先,依頼作業開始時間,電話・メール対応,見積もり対応,作業員,サービス,家具量,家電量,ダンボール,見積もり比較社数
21,2023-08-08,対応が早くて、良かったです。,3.75,動きに無駄がなく、養生もきちんとしてくださっていたので、安心しました。ただ金額重視にしてしまったので、思ったよりも荷物が残っしまったのが残念で、追加料金を払ってでも持っていってもらうなどの対応をしてもらえると良かったです。予算を伝えておけば良かったと少し後悔しました。,福岡,福岡,いつでも,4,3,4,4,8,8,70,8
5,2023-08-03,大手でもあり信頼できる。,4.25,良かった点・見積りについて、アリさんマークの引越社は即日訪問いただき、担当者の印象も良く、丁寧に説明してくれた。他1社は電話で見積りしてくれたが極端に安価で信頼性に欠けた。他1社と価格比較しようと思ったが訪問見積りが2日後だったので一応予約し、その旨担当者に話したら値引きしていただき、引越日も希望どおり予約できたので、アリさんマークの引越社に即決した。・後日持参いただいた、ダンボールの数は大小ともピッタリだった。・積込み、荷下ろしともにテキパキと作業していただき満足だった。悪かった点は特に思い当たらない。,北海道,北海道,いつでも,4,5,4,4,4,0,0,10
19,2023-07-30,明るく対応が良い,5.0,見積もりは直接家にきて、家具を見て取って下さったので、当日値段が変わる心配もなく安心でした。ダメ元で、一番安いお値段を出してくれた会社をお伝えしたら、上司に相談してくださり、最安値で作業していただきました。当時は、担当者の方がとても良い方で、安心してお願いできました。特に傷つけたくない家具をお伝えすると、丁寧に梱包してくださり、一切傷もつかなかったです。作業してくれた方はみなさん人柄が良く、明るく丁寧な対応をしてくださりました。引越し作業もとても早く、1時間かからずに終了しました。届けてくださる方もとても良い方でした。少し早くなりそうとお電話いただき、暑くなる前に作業が終わったのでこちらとしてもとてもよかったです。その日は20分程度であっという間に作業終了しました。置いて欲しい場所を伝えるとその通りに配置してくださったので、その後の片付けもしやすかったです。アリさんマークの引越し業者にお願いして本当によかったです。ありがとうございました。,北海道,東京,いつでも,5,5,5,5,2,0,10,6
23,2023-07-30,清潔感が有って、優しくて良かったです。,5.0,対応が良かったです。優しくて良かった。【見積もり時の対応】優しくて、寄り添ってくれて、不安が無くなりました。【料金】料金を下げてくれたので、助かりました。【作業内容】スピードが有って、優しくて、良かった。【全体的な評価】素晴らしかった。【良かった点】全てに満足しました。【気になった点】特になし,静岡,埼玉,いつでも,5,5,5,5,2,0,0,4
26,2023-07-29,わかりやすく丁寧だった,3.75,次々来る引越し屋の営業の全員が即決を求めてくる。(かなりしつこい！！)【見積もり時の対応】【料金】最安値【作業内容】引越し【全体的な評価】9【良かった点】【気になった点】,大阪,兵庫,いつでも,4,5,3,3,17,0,0,7
25,2023-07-28,暑い中、非常に大変だったと思います。,4.25,非常に暑い中、てきぱきとしていただきました。ただ、エアコンの取り付けが素人のようでしたので、やり直しの苦情を入れたいと思っています。エアコンのホースカバーセットで申込みしましたが、マンションなのにマンション用の部材はないとのことで、一戸建て用の部材を取り付けられ、部屋側のカバーはジョイントが隙間だらけでまるで子供の工作です。とてもプロの仕事とは思えません。提携業者を代えた方がよいと思います。,埼玉,栃木,いつでも,3,4,5,5,17,19,50,5
24,2023-07-27,暑いなかに一生懸命に作業をしていただきました,4.25,良かった点見積もり時点での愛想良く無駄なく必要な点を説明いただけました。費用面でもすぐに上司に掛け合っていただくなどスピーディーな見積もり対応でした。作業は、階段4階で移動が大変な場所でありましたが、一生懸命に作業をしていただけました。,大阪,大阪,いつでも,5,5,3,4,5,4,20,7
28,2023-07-26,良かったと思います,5.0,自分の引越しではなく両親の引越しなので直接ではないが料金等も頑張って頂き作業もテキパキして頂いていたようで良かったです。悪かったところは特に無いですが、強いてあげるなら、外注のエアコン付け替えの業者が少し微妙と感じたくらいでした。暑い中本当にありがとうございました！,大阪,大阪,いつでも,5,5,5,5,5,9,5,6
27,2023-07-21,引越しに精通した老舗の印象,4.5,【よかった点】・作業員の搬出作業が速い・作業員の対応も丁寧でした・大型家具の処分ができた・エアコンの処分の業者を紹介してもらえた【悪かった点】・梱包資材のバリエーションが少ない・後日、ダンボールの引取りがない,千葉,東京,いつでも,4,4,5,5,7,13,40,4
32,2023-06-30,営業だけでなく作業員の対応も比較的丁寧であった。,4.75,良かった点・金額が安い・80キロ離れた場所への引越しであったが、チャータートラックのため、同日に荷物搬出搬入ができた。・営業だけでなく作業員の対応も比較的丁寧であった。悪かった点・荷物搬出の際、巾木が大きく割れていたことに後日気づいた。割れているならその場で伝えて欲しかった。,神奈川,千葉,いつでも,5,5,4,5,3,6,30,6
31,2023-06-28,作業員の対応がとても良い,4.75,営業の方の印象がとても良く、契約させていただきました。作業員のリーダーさんの印象も好印象でした。若い作業員さんが元気がよく頑張ってくださいましたが、明るくすぎて単身者の引っ越しだと引く可能性はあるかなと笑全体を通して好印象で高評価と思いました。,大阪,大阪,いつでも,4,5,5,5,3,5,10,7
30,2023-06-27,正直で、信頼できた。,4.5,引っ越しまで日程があまりなかったが、その中でも引っ越し日の候補日をいくつかあげて頂き、日程の調整ができた。価格やトラックの大きさも相談ができ、良かった。また、エアコンの取り外しをキャンセルしたが快く承諾して頂いたのでほっとした。田舎の母の引っ越しだったが、年寄りの母の話も聞いて貰いながらの引っ越しで安心した。,熊本,熊本,いつでも,4,4,5,5,2,5,20,3
34,2023-06-27,はやい,3.5,25日に梱包、27日に運ぶ約束だったなのに25日に運んでしまい、27日に休みをとって搬入立ち会いしたかったのにできず、荷物を部屋に詰め込まれたため、必要なものが全く取り出せない状態。家具の配置もしたかったのに、高いお金を払って満足はしてない。,北海道,北海道,いつでも,4,4,3,3,5,5,20,10
