,引越し時期,タイトル,評価,口コミ,現在地,引越し先,依頼作業開始時間,電話・メール対応,見積もり対応,作業員,サービス,家具量,家電量,ダンボール,見積もり比較社数
19,2023-07-27,安かろう悪かろうなのかなという印象,3.75,不動産屋から関西から九州までは単身でおよそ7万円とのことでした。不動産屋が紹介できる業者だとさらに40％オフになる(40％オフで7万円台？)とのことで、そのくらいの業者を探していたので価格としては満足しています。最初は8万円〜9万円台で提示されており、上記の通りお伝えしたところ上司に相談します！とのことで少し安くしていただけて7万円台まで値引きをして頂けました。また、段ボールも頂けて引き取りもして頂けてとても助かりました。いざ引越し当日、だいたいの時間は伺っていたのですが直前の連絡はなく、急に作業員の方が来られて作業が始まりました。少し大きめの観葉植物があり、依頼の電話をした時に枝折れがあるとは聞いていましたが、割と荒く梱包され、その時点で枝が数本折れていました。他社がどうなのか分かりませんが目の前でそれはないかなと。その件も含めて諸々知人に話したところ、その業者は不動産屋もお勧めしない業者であったとのことでした。安く済ませるのであればありなのかなというのが最終的な印象です。,兵庫,福岡,午前,4,4,3,4,4,4,15,7
21,2023-07-25,段取りがよく、安心してお任せできる。,4.75,見積もりの段階で引っ越しの説明、値段が明確だったため引っ越し当日のイメージがしやすかった、作業員の方も皆親切だったのが良かったです。大掛かりな引っ越しははじめてでしたが時間通りに作業を進めていただけて安心感がありました。,奈良,山口,午前,5,5,4,5,9,9,30,4
18,2023-07-23,会社の誠実さが伝わりました。,4.75,【見積もり時の対応】大手他社が大柄な態度であるにも関わらず、謙虚で真剣な姿勢に好感が持てた。【料金】相当頑張ってくれた。【作業内容】料金的に仕方がないが、もう1人欲しかった。それでもテキパキ、終了した。【全体的な評価】単身の引越しでしたが、コストも品質も全く問題ありませんでした。【良かった点】オペレーター、営業マンの対応。【気になった点】特に無し。,奈良,大阪,午前,5,5,4,5,3,1,10,5
22,2023-07-03,手際は良いが作業が雑な印象でした。,3.0,これまでに様々な引越業者にお願いしてきましたが、今回の引越は「安かろう悪かろう」といった内容でした。まず、過去の業者さんと比較して荷物を大切に扱うという意識が低いように感じました。結果的に冷蔵庫等の家電製品が傷ついたり、凹むといった結果になりました。たまたまその様な担当者にあたった可能性もありますが、搬出と搬入の両方の担当者を見て感じた印象です。早く終わらせることを優先し、3人の作業員がいたのにもかかわらず、冷蔵庫を1人で2階から下ろしたり、見ていて「大丈夫かな？」といった印象を受けました。また屋外に出るときに靴を履かずに出入りさたり、過去にやっていただいた業者さんではあり得ない行動も散見されました。見積担当者が「広告宣伝費を抑え、大手と同水準の内容を低価格で実現」と言っていましたが、大手と同水準の内容ではなかったように感じました。,茨城,福岡,午前,3,4,2,3,1,8,30,4
25,2023-06-29,営業担当と作業員の質に差があり、作業にガッカリした,2.5,良かった点特に大切にしている家具は何か。のヒアリングがあった。悪かった点布団袋を見積り時から依頼していたのに、ダンボール搬入時も引越し当日も布団袋がもらえ無かった。(見積り通りの対応ではなかった)作業員の汗が自前の布団袋にベッタリついたし、引っ越し作業の埃もついて最悪。それが嫌で布団袋を依頼していたのに。,滋賀,滋賀,午前,3,3,2,2,12,9,60,3
26,2023-06-28,宣伝ないので知名度は薄かったが信頼出来た。,5.0,良かった点・・・営業員の対応と訪問見積も早かったが作業員さん達の対応も素晴らしかった。悪かった点・・・引越業者さんが契約していた電気工事の方が素人でテレビの接続も出来ずに帰った！その後に完璧に接続するよう連絡したが私には出来ませんと言われ、仕方なく別の電気屋さんに対応してもらいました。,宮崎,宮崎,午前,5,5,5,5,5,4,30,3
27,2023-06-28,相対的に良かった,3.5,最初は、見積の待ち合わせ時間よりかなり遅くきたので、最悪の印象でした。①見積金額が安かった②作業開始時間が約束通りであった。今まで10回以上引っ越し経験があるが、アート引っ越しセンターと比較しても遜色なかった。,長崎,長崎,午前,4,2,4,4,7,8,20,4
28,2023-06-26,作業員の人数が他社より多いのでスピーディー,4.75,値段設定には自信があるようで営業さんもまずそれを一番に案内してくれるのでサービスより価格を重視するなら検討してみる価値は大いにあり。他社と見積もりの比較をして金額はかなり頑張ってくれるが、現場の対応をしてくれる人数が他社より２、３人多いので単純に早くて作業員に無理がないので安心して任せられたところがよかった。,東京,青森,午前,4,5,5,5,7,3,50,3
33,2023-06-25,実家にも営業所があり他社より安い見積額になった,3.75,ハート引っ越しセンターさんは訪問見積もりじゃなくても、口頭で家財の確認して見積もりを出してくれて助かった。その際にこちらが言い忘れていた家財についても、「季節の家電の扇風機や暖房器具はありますか？」などたずねてくれた。また、布団やハンガーは当日布団袋とハンガーボックスを無料で貸し出してくれるため、荷造りの手間も省けた。搬出の時間帯がもう少し早くわかると良いと思った。,京都,熊本,午前,4,4,3,4,3,3,0,5
32,2023-06-24,,4.25,他の小さな会社からもっと安い見積もりをもらったのですが、信頼できる感じがしなかったので、結局この会社を選びました。以前、引っ越しの際にも利用しました。安心できたし、いい仕事をしてくれると思いました。見積もり後、無料の箱とテープが2日で届き、とても早かったです。引越し当日の作業員の方もテキパキしていて親切でした。残念だったのは、一部の大きな荷物（ベッド、棚...）が運搬中に少し破損してしまったことです。,東京,京都,午前,4,4,4,5,4,5,15,10
31,2023-06-24,明るくテキパキとしていました,5.0,引越しと合わせてかなりの家財処分が必要で困っていたところ、引越しと家財処分の両方をお願いできると伺い、ハートさんに決めました。見積もりの時からとても感じが良く、当日の作業員の方々もとてもテキパキと作業してくれ、終始、気持ちよく対応してくださいました。引越しが初めてで不安もありましたが、料金も安くて本当にお願いして良かったです。周囲にもおすすめしたいと思いました。,高知,高知,午前,5,5,5,5,6,0,0,4
29,2023-06-24,派手さはないが良心的価格で良かった,4.0,特に過度なサービスは、必要なかったので，基本的な作業をしていただけて，価格も他より安くて良かった。　エレベーターなし4Fへの引っ越しだったが、　適切に作業していただけて満足です。　営業の方も，良かったです。　又お願いしたいです。,茨城,茨城,午前,4,4,4,4,4,5,15,6
34,2023-06-23,親切、丁寧、礼儀正しい、その他すべて良しです。,4.5,まず第一に相見積もりで相当コストダウンになりました。訪問見積もりも分かり易い説明とコスト交渉も丁寧に聞いて努力いただき、契約後の質問対応もしっかりと受けてくれました。引越し作業もテキパキ丁寧で、対応もとても親切、言葉使いや態度もすごく丁寧でチームワークも良く、社員教育が行き届いていると実感しました。申し分なしで満足しています。ダンボールの追加も無料でサービス、素早く確実に届きました。その他すべて良しで、悪いところは思いあたりません。気持ち良く引越しができました。このサイトの調べ良さと使い易さのおかげと思います。とても満足していますので、もし次回ある場合でも利用させていただきます。,東京,東京,午前,3,5,5,5,11,10,60,4
37,2023-06-21,作業員さんが皆さん非常に良かった！,4.25,初期の時点では対応が良かったが決めてからは対応が緩く大丈夫かと少し不安があった。もう少し細かな打ち合わせがあれぱ、安心して荷造りなどがスムーズに段取り出来たのかと思います。ですが作業員さんの皆さんはとても、丁寧でスピーディーな仕事をしてくださって、とても安心して作業を見守ることができました。後の掃除もスムーズに、行えました。ありがとうございます。,愛知,福岡,午前,3,4,5,5,6,9,10,5
38,2023-06-21,気持ちのこもった優しい対応で感謝しています。,5.0,訪問見積もり来てくれた担当者が親身に対応してくださり、その際の気遣いが本当に嬉しく、今回の契約の決め手となりました。引越し当日の担当スタッフの方々も、本当に丁寧で手際が良く、驚く速さで運び出し、設置もスムーズにしてくださいました。素晴らしい引越し業者さんだと思います。悪い印象は、一つもありません。,北海道,北海道,午前,5,5,5,5,9,4,20,5
30,2023-06-20,丁寧で的確でした,5.0,時間もあまりなかったところ、見積もりが明快でこちら側にいくつも提案があり、丁寧で的確に話をしていただけたので、大変スムーズに話が進みました。また無駄な費用がかからないで済むように考えて教えてもらえてもらえたり、こちらの都合で変更することがあっても快く対応して頂き安心してお任せすることが出来ました。金額的にも想定していた金額や他社の金額の半額くらいのご提案を頂き、目を疑いました。他社さんにも確認しましたが、「これは真似できないですね」と驚いていたので、迷わず契約しました。引っ越しに伴う費用がかさむ中思わぬ誤算で見積もりを取って良かったなぁと思います。,岡山,岡山,午前,5,5,5,5,6,5,30,6
35,2023-06-19,想像以上に丁寧でスピーディーな対応でした。,5.0,ダンボールや布団袋など必要なものは当然用意していた出来ました。不要な食器棚の引き取りも対応してくださり大変助かりました。また、あらかじめ引越し先に置いていた家具の移動もしていただくなど作業員さんの対応も良かったです。,北海道,北海道,午前,5,5,5,5,4,5,15,6
36,2023-06-18,明るい爽やかな印象,4.0,"当日搬入出来ない物がいくつかあり、追加で¥33,000かかった。訪問見積もりで家具などをみてもらっていたのに、当日作業員さんから運べない可能性があると言われた。営業担当の方の経験不足なのかと思います。追加料金はかかったものの、それでも他社よりは安く引っ越しが出来たと思うので、結果的には良いと思う。何よりも見積もりに来て下さった営業の方も、当日の作業の方も感じが良かったので気持ちよく引っ越しが出来た。引っ越し作業も家具の梱包も丁寧で作業も迅速だった。ダンボールや梱包資材も多めに用意してくれたので、十分に間に合った。一つ残念なのは、引っ越し時間などの連絡をくれる女性が用件を伝え終わると、こちらより先に電話をすぐに切るのが不快に感じた。2〜3回続いたので、電話応対の教育があまりされていないんだなと思った。",東京,東京,午前,2,4,5,5,8,5,20,3
44,2023-05-31,他の大手引越し業者より安価,4.5,他社と比較して安価でありながら一定以上のサービス水準は保障されている印象ですが、作業員の態度が荒いという話も時々見受けられます。実際に当たった作業員は特にそういった印象はありませんでしたが、中には気になられる人もいるようです。また、当初の予定より荷物の量が増えた場合は引き取ってもらえない荷物が発生するケースもありますので、荷物の内容に変更がある場合は頻繁に電話でコンタクトを取るのが良いでしょう。クレジットカードを利用する場合や、マイルを貯める場合はインターネットから番号を申請するフォームはないので、電話でのやり取りが必要になるのが要注意です。いずれにせよ極端に高いサービスを要求しないのであれば、リーズナブルに引越し出来る良い会社だと思います。,三重,大阪,いつでも,5,5,3,5,6,4,15,4
43,2023-05-29,きびきびしていた。,4.5,見積が速かったしできるできないをはっきりしていました5月で繁忙期ではないので1度で見積しますと言って考えている範囲の見積提示時間が比8時掛かった。また面積が小さくなるで、廃棄処理業者資格で、家具やベット、洗濯竿などの廃棄処理をしてもらったのが....大変に助かりましたし、しかもそれでも他者よりも安価であった。　これと比べて引越最大手の他社では、見積に時間がかかるし、信頼と金額のどちらを取るか等などのトークと、初期は壁養生材費用を見積提示、これを無料とします等、気に障るトークと高額見積を60%まで下げるような見積り提示した時点で、私的には「X」でした。,千葉,千葉,いつでも,4,4,5,5,6,7,30,4
39,2023-05-29,作業員のクオリティが人によってバラバラ,3.75,出荷時の作業員は挨拶もなく印象が悪かった。恐らく上司の方が無口で何も言わずに家に入ってきて何も言わずに帰って行ったという感じでとても気分が悪かったです。ただ、金額交渉等への対応は良く、親切な会社だと思った。,埼玉,岐阜,午前,4,5,2,4,3,5,0,4
