,引越し時期,タイトル,評価,口コミ,現在地,引越し先,依頼作業開始時間,電話・メール対応,見積もり対応,作業員,サービス,家具量,家電量,ダンボール,見積もり比較社数
41,2023-08-30,迅速で、ほどよい丁寧さで心地良かった。,5.0,総合でとても良かったです。金額が1番安かったのが決めて。ダンボールも足りました。ダンボールの引き取りは初めからしてないと聞いていたので問題なし。責任者の方がテキパキされており指示も的確。他の方も丁寧に作業してくれた。こたつのあしが緩んでいますね‥とドライバーでさっと直してくださいました。そのさりげなさが、ありがたかったです。悪い点はありません。,東京,大阪,いつでも,5,5,5,5,3,9,50,4
31,2023-08-30,荷物への対応が丁寧,4.5,【見積もり時の対応】処分したい家具に対するオプション(買取)も丁寧に説明してくれた【料金】値引き交渉をしなかったので、前回利用した時より高かった【作業内容】とても丁寧に作業してくれたので、見ていて安心できた【全体的な評価】料金は少し高めかもしれないが、その分丁寧なので満足できた【良かった点】引っ越しまであまり日数もなく、3日前の引っ越し日変更にも丁寧に対応してくれた,広島,岡山,午前,4,4,5,5,7,4,15,5
36,2023-08-30,丁寧で、テキパキ動く！,5.0,【見積もり時の対応】とても気さくな方で、とても話しやすかった。要望にも応えてくれた。粗品としてお米をいただいた。【料金】学生自身が払うのはしんどいですよねと、値引きしてくれた。素直に対応してくれた。【作業内容】テキパキと効率のよい動きだった。荷物を運ぶ順番を気にしてくれた。【全体的な評価】とても満足◎とにかく満足！！丁寧かつ迅速な対応で、見積から引越し終了まで心配なくできた。知人から良いと言われてお願いしたが、頼んで良かった！電化製品の取り付けなど、自分が苦手なところは10分間サービスでお願いすると良いかも！！【良かった点】・気さくに話してくれた。・見積書を提示してくれた。・引越しまでの相談にのってくれた。・引越し日や時間など希望通りにできた。【気になった点】特になし。,愛媛,愛媛,午前,5,5,5,5,6,4,15,5
40,2023-08-29,誠実な対応で信頼できました。,5.0,最初の見積もりでは10万円ほどでしたが、平日の引越し、他社と検討している、〇〇円だと助かるなど相談したところ6万円にしていただきました。今回の引っ越しでは不要な家財道具が多く出たため、家具回収などのサービスがあればよかったと思います。,広島,広島,いつでも,5,5,5,5,1,6,30,2
49,2023-08-29,可もなく不可もなく,3.75,良かった点皆さん愛想が悪いこともなく、一つ一つ確認しながら作業してくださいました。悪かった点サカイさんに決めた後、春日井営業所の電話の故障とかで電話をかけても繋がらず、不安になったこと。また、前日に訪問時間の電話連絡もありませんでした。,愛知,愛知,いつでも,4,4,4,3,8,11,20,9
48,2023-08-29,気持ち良い,5.0,遠方の引越しだったので3日かかったのはキツかった搬入の到着予定が朝８時〜夕方６時となっていたので、もう少し時間を絞って欲しかった。作業員さんは本当に良くやってくれて感謝です。運んでいる途中で「あ！やっぱり違う部屋へ…」と言っても嫌な顔一つせずにニコニコ「大丈夫ですよ」って言ってくれたので本当にありがたかったです。金額も思ったより安く、若干の不安がありましたが安かろう悪かろうでは全くなかったです。梱包の方々も気が利く方がいてくれて、梱包後に無くて困ることがなかった。他社にお願いした時は後から『失敗した』と思う事が多々あったので。,埼玉,長野,いつでも,5,5,5,5,9,11,50,4
39,2023-08-28,親切丁寧で、対応も早く、仕事も早い。,5.0,対応も親切丁寧で、引越までの日にちもなく困っていたので、とても助かりました。料金も他社とあまり変わりなかったが、１番親身に話を聞いてもらえた。仕事も早くて丁寧でした。以前も利用したことがありますが、又利用したいと思える会社でした。,愛知,岐阜,午前,5,5,5,5,2,0,10,5
46,2023-08-28,安心できる引っ越し屋さん,3.5,全体的には満足度していますが、もう少し料金が安ければ良かったなぁと思いました。引っ越しの際、挨拶のない作業員の方がいて、少し残念でしたが、作業の方はテキパキと暑い中黙々と作業してくださり助かりました。事前に引っ越しの時間を伝えてくれるのは助かるのですが、同じ日に2度同じ事を聞かれて伝えたのになぁと思っていました。また雑巾を渡していたら家具を綺麗に拭いてくれると聞いていたのですが、こちらから言わないと拭いてもらえないことがあったり、配線に埃がたまっているのに、そのままひとまとめにぐちゃっと入れられているのを見て、正直「あっ…」っと思っていました。次回もまた利用するかと聞かれた二つ返事ではい！とはいいきれませんが、皆さん一生懸命してくださっつているのは伝わりましたし、それなり満足はしています。,大阪,大阪,いつでも,3,5,3,3,5,5,30,7
27,2023-08-28,暑い中での作業の中敏速に動きとても良かったです。,5.0,ネットだけの見積りだけではなく、無料の訪問見積りでより具体的に引越し料金を出してもらいました。他社との比較がスムーズに行えた事がとても良かったです。引越し料金だけでは無く、各業者さんの対応や信頼性を重視して今回は引越し業者を決めました。一括で比較出来るサイトなので時間を無駄にせずに有効活用出来ました。,沖縄,沖縄,午前,5,5,5,5,3,2,0,7
34,2023-08-28,テキパキと作業してくれ、円滑に作業がなされた。,4.5,料金他社が非常に高額であったが、想定金額内となり良心的であった。日時日程についても調整してもらえたため、とても助かった。ただし、作業開始時間が未定であったため、他の作業の見積りが困難であった。明確な時間を早目に提示してもらえると、計画が立てやすい。作業（エアコン等）洗濯機、エアコンはグループ企業が請け負っていたため、調整に関し話が早く円滑であったが、開始時間等の連絡調整で一部齟齬があったため、しっかりと連携を図って頂けると良いと思う。設置作業洗濯機設置の際、壁への汚れと傷が生起したため、壁の保護を実施した方が良いと思う。（作業員による洗浄で消えたため問題はない。）その他今回は自前でダンボールへの梱包を行ったが、自分での作業の場合は、割引等があると良いと思う。また、ダンボールについても後日回収等を無料で実施して頂けると非常に助かると思われる。,福岡,福岡,午前,5,5,4,4,10,0,0,7
32,2023-08-28,早いけど、少しザツで愛想、丁寧さにかけたかも。,3.75,・登録後すぐに引っ越し業者から連絡が来始めた。・自分から調べなくても連絡をもらえるのが、忙しい時なので助かった。・連絡をくれた業者も短い電話で要領良く概算を教えてくれた。・引っ越し業者を決めたあとすぐに、引越し侍から連絡が来て、他の会社からの電話に煩わされないようにブロックしてくれると言ってもらえて助かりました。,千葉,岐阜,午前,4,4,3,4,2,0,10,6
42,2023-08-28,テキパキ、丁寧！,5.0,前日や当日に連絡があり、丁寧な対応です。家財や部屋の状態を確認しながら作業するので、引っ越し最中の破損を心配せずに済みます。以前の引っ越し業者は、スピードは早かったですが荷物到着後、傷がついており自分が気が付かないうちに傷つけたか、業者な傷つけたか解らすモヤモヤした気持ちになりました。荷下ろしも台所、寝室、洗面台と分けて下ろしますので再展開が楽です。最後の10分間サービスは特に頼みませんでしたが既存の家具の位置変更等がある人にはおすすめかと思います。,青森,青森,いつでも,5,5,5,5,4,4,10,4
52,2023-08-27,仕事は早いけど、迅速かつ丁寧,5.0,暑い中大変なのに朝早くから凄い親切に説明して下さり安心して引越しに望む事が出来ました。重い物を運ぶのも早いのに傷つけないように気をつけて下さりプロだなと思い終始凄かったです。また引越しをするならサカイ引越しセンターさんにしようと思いました。,東京,茨城,いつでも,5,5,5,5,3,4,15,3
45,2023-08-27,パンダで馴染みがある。,5.0,良かった点　迅速な対応で、会話も良くしながらもテキパキと指示しながら進めて行く事は、非常に印象が良かった。悪かった点　探しても、見当たらなかったです。感想　最後の挨拶も終わり、サインして帰った後に、手洗い場で手を洗っていたら、水道の所に、感謝の気持ちのコメントと携帯置きが置いてあり、引越しが終了した安堵感と、とても良い気持ちになる事が出来ました。本当に、ありがとうと言いたいです。,宮城,愛知,いつでも,5,5,5,5,6,14,20,4
51,2023-08-27,電話対応から当日の対応まで非常に丁寧だった。,5.0,急な転勤でバタバタしていた中で非常に丁寧かつスピーディーに対応いただき満足のいく引っ越しができました！料金面もギリギリまで費用が収まるように対応してくださったし、何より電話対応から当日の作業員の対応まで、非常に丁寧かつスピーディーに対応していただけました。他社では多少機械的に対応されているなと感じることもありましたが、こちらの要望にもできる限り対応しようとしてくださっているのが分かりましたし、その際の態度も非常に清々しい印象でした。引っ越し当日、引っ越し先のご近所の方への配慮も非常に好印象で、さすが業界大手だなと感じました。引っ越しについて、最終的には費用が抑えられることが第一になると思いますが、トラブルなく引っ越すことを考えればサカイさんで間違いないと思います。,熊本,熊本,いつでも,5,5,5,5,5,3,10,4
53,2023-08-26,頑張ってくれている感満載,5.0,荷物梱包に1日、搬出入で1日の計2日間の工程でした。それぞれの日で予定時間が遅くなりそうになると社内で応援要請をして社員さんが駆けつけてくれて何とか間に合わせようと対応いただいたのがとても良い印象でした。とてもありがたかった。ダンボールも足らずに追加いただいたが追加請求無でありがたかった。,埼玉,埼玉,いつでも,5,5,5,5,10,5,90,5
38,2023-08-25,てきぱきとしていて、良かったです。,4.5,総合的に言って、オススメします。営業の方も電話で連絡した時に受けてくださった方も、親切でした。現場スタッフもてきぱきと作業してくれました。運んだもらったカウンターテーブルの扉がズレてしまい開かなくなってしまったのですが、気づいたのが翌日で、電話でその事を伝えたところ、夕方現場リーダーの方が来てくれました。ひとりではちょっと大変だったので家の者が少し手を貸しましたが、とても感じ良く対応してくれて、「また他にも不具合なことがあれば、直ぐにご連絡ください」と言ってくれて、好感度アップでした。契約後、営業の方からの連絡は一切なくて、確認したい事や変更点があったので営業所に連絡したのですが、事務の方の対応だけだったことが、少しだけ“うーん”と感じたくらいでしょうか。情報の引き継ぎはきちんとされていたので、問題はなかったので、不満とまではいきません。,神奈川,神奈川,午前,4,5,4,5,10,0,40,8
55,2023-08-24,引越し作業がとてもスムーズだった,5.0,暑い中、とてもスムーズに引越し作業を完了して頂き、ありがとうございました。引越しに不慣れな為、梱包も中途半端だったのに、親切にサポートして頂いて大変感謝しています。もう少し金額が抑えれたらなとは思いますが、大変な力仕事なのを目の当たりにして、自分では出来なかったと思うと、妥当なお支払い金額だったのかなと思いました。,山口,山口,いつでも,5,5,5,5,3,1,10,4
33,2023-08-23,丁寧で、親切で会話も楽しかった,5.0,家財は多い方だと思います。頂いたダンボール50箱もすぐいっぱいになりました。訪問した営業の担当者さんも親切に、ダンボールの詰め方の工夫や方法を教えてくれました。当初、想定していた金額よりも高かったですが、見積もり対応、電話対応、こちらのスケジュールに寄り添った対応、現場の方々の対応は、丁寧で安いかもと思うほどでした。実際の引っ越し現場には、社員さんアルバイトさん色んな方が携わると思いますが、社内で教育や研修がしっかりされたスタッフが対応してくれて、安心して引っ越しできました。,沖縄,沖縄,午前,5,5,5,5,10,7,40,7
50,2023-08-23,作業員の仕事が丁寧。,5.0,事前の段ボール手配や、段ボール不足時の補充対応が迅速だった。作業当日の訪問時間の連絡も細やかに連絡を貰い安心した。作業も丁寧で迅速だった。積込みの作業責任者がそのまま引越し先まで帯同してくれて安心だった。,福岡,千葉,いつでも,5,5,5,5,7,7,40,9
57,2023-08-22,ハキハキしてる会社,5.0,暑い中、嫌な顔せず、汗だくになりながらも、私達を気にかけてくれながらの作業やフォローがとても助かりましたし、嬉しかったです。訪問見積もりの方も当日担当してくれた作業員の方々も気持ちのいい接客をしてくれました。,静岡,静岡,いつでも,5,5,5,5,5,5,0,5
54,2023-08-22,とてもいい人たちでした。,5.0,とても迅速で予定よりも七時間も早く来てくださりいろんなことがスムーズに進めることができて本当に助かりました！業者の方々もお部屋の中の家具のレイアウトも意見を出してくださり、ベットの引き出しも反対だったので仕方がないか。。。と半ば諦めていたのですが、何も言わなくてもちゃんと機能するように変更設置してくださり、電球も自身が持ってきた良い方の電球に変えてくれた上にもともと設置されていた電球を次の引っ越しのときに困らないように梱包もしてくださり、また取り付けるときも呼んでいただければやりますよ！！と言ってくれたり、至れり尽くせりでした！！最後の10分間サービスも気になっていたエントランスの汚れもきれいに取って下さり本当に助かりました！！絶対に今後はサカイ引越センターさんに今後もお願いしたいと思っております！それくらい満足でした！！,茨城,茨城,いつでも,5,5,5,5,8,6,0,5
56,2023-08-22,ちゃんとされている印象です,4.75,非常に良かったです！！壁への運ぶ際のしっかりした補強の準備や、家具の位置へのアイデアや対応の迅速さ、引っ越しが多い職業で何回も引っ越ししておりますが、久しぶりにいい引っ越し業者さんに会いました！本当に感謝です！！ありがとうございます！,茨城,茨城,いつでも,4,5,5,5,8,6,0,5
