,date,title,rate,compare,comment
5942,2020-10-12,親身になり丁寧かつ迅速に行って頂きました。,5.0,1,引越し前の全面道路が狭くご迷惑かけたにも関わらずテキパキと作業頂き短時間で終えて頂き、時間に焦る事なく引越し先に移動出来助かりました。引越し先でも新築の家をキズつけないよう養生をしっかりし丁寧かつ素早く搬入頂きました。また料金に対してもかなり頑張って頂きました。
5974,2020-10-12,荷物の扱いが丁寧な上に迅速な対応で非常に満足,4.75,1,他社と比べて費用面では高くなりましたが、引っ越しそのものの対応は非常に満足しています。今回引っ越し元の道路が狭く、訪問見積もり時に2トン2往復なのでお客様にも2往復していただきますとのことでしたが、当日の作業員の方の采配で作業員の方で2往復目を対応いただき、その間にほぼほぼ全ての段ボールの開梱ができ、その日に持ち帰ってもらえたので非常に助かりました。また、運び出しの際には、冷蔵庫とマットの掃除をしてくれていて新居で余計な掃除をしなくて済んだのもう嬉しい限りです。次に引っ越す機会があったら必ず同じサカイを使うこと間違いなしです。おススメです！
5931,2020-10-12,良かった,4.75,1,営業、自分が考えていた予算より多かったが、値引き交渉もダンボールを多くいただき、よく話を聞いてくれて明瞭な詳細で納得して申し込んだ。搬出時、荷物が出なく、面倒なことも、嫌な顔をひとつもせず心良く、丁寧にやっていただきました。金額以上のサービスを感じた。ウェディングドレスだけひとつのダンボールに別に入れて下さり、心からの丁寧さを感じた。ダンボールのパンダも可愛く、よいマークだと思う。特に近くの営業所の方の対応には、感激し、感謝した。コマーシャルに出られているだけあるとおもいました。搬入の地域が遠く、神奈川では、面倒なことで確かにやり難い状況だが、溜息が気になった。是非友人にも勧めたいと思うが、支店によって人が変わるので、あらかじめ、引っ越し理由、年寄りがいる、子供がいる近所のうるさい人、道路の幅など状況を伝えておくとよいかと思います。
5977,2020-10-12,業界最大手の安心できる会社,4.75,1,当日担当してくださった方々がとても対応がよく、小さな娘がいる私たちへの配慮もよく、かなり気持ちの良い引越しになりました。
5933,2020-10-13,無駄がなく、かつ丁寧,4.25,1,終始丁寧で、悪かった点は見当たらなかったです。知人の紹介もあり、初めから信頼してお願いしてましたが、次回引越しする時もお願いしたいです。古い団地でエレベーターもなく、とても大変な作業だったと思います。感謝しています。
5833,2020-10-13,訪問見積もり〜引越し作業までとても丁寧でした,5.0,1,【見積もり時の対応】わかりやすく説明して頂いて、とても丁寧でよかったです【料金】見積もり時の段階で対応が良かったので他社と比較はしていませんがお値段以上の対応でした。【作業内容】壁、床等傷つけることなく丁寧にやって頂いて、作業してくださった方たちのチームワークも良く、スムーズに対応していただきました【全体的な評価】またお願いしたいと思うくらい良かったです【良かった点】全て【気になった点】特にありません。
5913,2020-10-13,仕事が早い。説明がわかりやすい。,5.0,1,見積もり段階で荷物の量を把握し、近隣の道幅や交通量に関しても素早くリサーチ。金額も当初予定していたより安く済み大変助かりました。配達員さんの手早さ、予定にない頼み事も気軽に引き受けてくださり好感度半端ないです。
5937,2020-10-13,人柄が良かった,4.5,1,先輩と思われる方が後輩に優しく指導していて一緒にいて気持ちが良かった。引越し業者を使用したことがありませんでしたが偏見で、先輩は言い方がきついものだと思っていました。ですが作業時先輩は優しく指導していたのでサカイを選んで良かったと思いました。
5943,2020-10-13,丁寧でスピーディーで安心できました。,5.0,1,親切丁寧でしたアフターサービスもあるというところに魅力を感じました。引越し責任者の方が、テキパキとしていて安心できました。
5912,2020-10-14,非常に良かったです。,5.0,1,訪問見積もりも運び出し、運び入れもすべて丁寧に行ってくれました。想像以上に迅速かつ丁寧だったので、引っ越し金額の低さに見合ってないと感じました。それほど素晴らしい対応だったと思います。悪かった点は一つもありません。次回に引っ越しを行う際はまた利用したいと考えています。
5860,2020-10-14,色々早かった,4.0,1,契約した引越し会社さんの他に2件ほど見積もり行う予定でしたがゴリ押しで1件目の契約した引越し会社さんになりました。
5886,2020-10-14,CMでお馴染み。車も良く見かける。,4.5,1,若い3人組で経験値が低いのでは？と心配したが杞憂に終わった。とにかく、素早く丁寧で気持ちが良かった。言葉遣いもきちんと教育されていると思った。3回目の利用だが、今回も破損など一切無く、満足の行く作業だった。靴や靴下がやや清潔感に欠けていたのが残念。新築への引越しだったので気になった。過去に目の前で新しい靴下に履き替えて作業に入る業者もあったので、新築には配慮があったら嬉しいと思った。重い家具の下に敷く有料の保護マットを引越しの最中に勧められた。忙しい中、急いで決断しなければならず、焦った。なぜ、訪問見積もりの際に勧めてくれなかったのか？じっくり考えたかった。結局、品物の性能に納得して購入したが、我が家にとっては安い買い物ではなかったし、その場で現金払いだったので、やはり事前説明があったら気持ちに余裕が持てたと思う。
5979,2020-10-14,挨拶、対応がしっかりしていてとても良い印象でした。,4.5,1,【見積もり時の対応】メゾネットタイプだったので、持ち込みが大変だった記憶がありましたが、１つ１つ納得できるような説明があり、安心してお任せできました。【料金】最初に提示していただいた値段は少し高めでしたが、できるだけ安くお願いしたいことをお伝えすると、削れるところを限界以上まで削って安くしていただけました。【作業内容】荷造りした段ボールの運搬、冷蔵庫、洗濯機、テレビ、ベッド、机２つ、子供ジャングルジムの運搬、エレクトーンの移動【全体的な評価】メゾネットタイプだったので、時間は予定より遅くなりましたが、最初から最後まで丁寧な対応や行動をしていただけました。【良かった点】全体的に見積りから引っ越しまで全てのサービスにおいて、丁寧で素晴らしい対応だったとおもいます。【気になった点】段ボール無料サービスを使用して家に持ってきてもらったときに、インターホンを鳴らしてくださり、いなかったら玄関先に置いておくとのお話でしたが、何の連絡もなくいきなり段ボールが置いてありました。しかし、電話をすると、丁寧に対応・謝罪していただき、必要なら段ボールの交換もしてくださるとの対応をしていただけました。
5872,2020-10-14,見積りの説明と実際の作業にはかなり違いがあった。,2.75,1,【見積もり時の対応】以前利用したことがあり、頼りない作業員だったことも伝えると、今はちゃんと訓練しているので安心して任せてくださいと言われたのでお願いすることにした。他の見積り業者の予定を入れていたが、断ってほしいと言われたので、その通りにしたが失敗であった。【料金】エアコンの付け外しがあったので、これくらいかかるのかと思ったが、荷物が少なかったわりに高かった。【作業内容】二人の作業員で一人は全くの素人で、家具を運ぶときふらふらで、あとで床に傷が付いていることに気づいた。【全体的な評価】任せて失敗だと思った。次は頼まない。【良かった点】特になし
5950,2020-10-14,対応の速さが良いと思います。,3.75,1,見積もり依頼をした当日に訪問見積もりに来てくれた対応の速さや粗品のお米、希望の金額に近くなるようにしてくれたところが良かったです。節約コースでダンボールがついておりませんでしたが、後日電話でお願いしたところ、当日に大小5枚ずつ届けてくれたサービスや引越し当日に自転車を追加で運ぶのを依頼したところ無料で対応してくださりとても良かったです。ただ、引越し当日の搬入スタッフは制服が破れてるまま着ているなど清潔感が感じられませんでした。
5962,2020-10-14,動きぐ早いが、作業が雑,5.0,1,相見積もりをとったことを伝えると、金額と日程をその場で電話で決められた。電子ピアノなので、空いた帰りの車に乗せて貰えた。金額も満足。長期保管も心配だったが一泊二日で届けてくれた。
5972,2020-10-14,要望を聞いてくれたり、良い印象だった,4.25,1,この度はありがとうございました！聞いていたのとは違い、作業員の方々も親切丁寧に説明してくださいました！また、機会がありましたらお願いします。
5971,2020-10-14,とても爽やかでテキパキとした作業でした,4.5,1,2階LDK新居への大型家具類をメインに移動をお願いしました。リーダーさんの爽やかな対応とテキパキとした作業の様子に安心しました。30メートル間の移動と言う事もあり、引っ越しに５万は高いだろ!と言う夫を伏せて利用させて頂きましたが、夫も作業対応の良さに納得。老眼でアース線の取り付けに戸惑ってる夫に代わり瞬時に取り付け下さったりと対応が嬉しかったです。10分サービスでは詰めかけの大きな段ボール2箱を運んで貰い助かりました。業者さんから連絡が入り→見積。料金も予定内だったので即決でした。トントン拍子に決めてしまったので不安にもなりましたが。
5951,2020-10-14,業界でもよく聞く信頼できる引越し業者。,5.0,1,初回訪問から引越し当日まで、対応がとても良く、迅速な回答と連絡、さすがサカイさんだと思いました。周りの知人で引越しを検討しているならば、紹介してあげたいと思います。
5940,2020-10-14,スピード感,4.75,1,【見積もり時の対応】礼儀正しく良かった【料金】値引きもかけてくださり、大分助かった【作業内容】洗濯機や証明を外してくれるなど、助かりました
5978,2020-10-15,スタッフ全員のチームワークがきびきびしていました。,4.5,1,事前に打ち合わせしていないなか不安感がありましたが、当日予定より早めに来ていただき私たちの要望を理解していただきました。チームワークが良くテキバキして日頃の仕事ぶりが垣間見ることができました。妻も今時の若い人達の動きに感心していました。さらには、県またぎの移動でしたが出発時点と到着時点共にスタッフ全員の応対も清潔感がありました。荷作りに対してもチェックを怠る事なく冷蔵庫などはアルコール消毒していただきました。タンスやラックはホコリがたまっていましたが手早く除去作業していただきました。私たちの日頃の不精を嫌がるでもなく細かな点まで気を使っいただきました。見積もりに来ていただいた人も単なるセールストークでなく、ユーモアセンスがあり会社が伸びた企業努力を垣間見ることができました。社員一丸になって取り組んでいることが伝わります。ありがとうございました。
5898,2020-10-15,見積も早く、実作業時の作業員の手際も良かった,4.25,1,近距離の引っ越しであったので、もう少しやすくできるかと思っていたが、ほぼ満足。粗品は、米であり消耗品なのでよかった。（引っ越しをして判るが、粗品のタオルの多いこと）値引き交渉については、誠意をもって努力してもらっていると感じた。段ボール数については、ちょうどよかった。サカイ引越センターの利用は初めてだったが、全体的に対応は良かった。費用は、引っ越し当日作業前に現金支払いなので、事前に準備が必要です。
5960,2020-10-15,CMのとおり、まごころがあるなと思いました。,4.25,1,引っ越し料金が見積もりで一番安かったのですが、前日に急遽追加でロフトベッドを解体して運んで欲しいとお願いをしたら、トラックに積むことが出来れば大丈夫です。と、見積もりの料金のままで追加料金を取らず作業をしてくれた。実際は、予定していたトラックよりも大きいトラックで来てくれて、自分たちで運ぼうとしていた小物の荷物もすべて運んでくれてとてもありがたかったです。
5850,2020-10-15,丁寧な対応でした。,4.0,1,良かった点：作業が手早く満足です。オプションのエアコン取付も電話対応も良く丁寧な仕事ぶりでした。悪かった点：搬入場所を記載していたのに違う部屋に入れられてしまった。総合的に価格も安く済み満足です。
5945,2020-10-15,明るくて良い方達でした。,5.0,1,大型家具だけ頼んだが丁寧で作業も早くて良かったです。訪問見積もりで頂いたお米も美味しく頂けました！ただ、ダンボールを置いていってくれたが使ったダンボールは有料での引取と言われたのは残念でした。
5829,2020-10-15,若い人でしたが、テキパキと動いていました。,4.75,1,最初に提示された金額より安い料金にしてもらえたので、満足しています。ダンボールとガムテープ、布団袋以外に食器を包む紙も準備してくれて、安心して荷造り出来ました。荷物を運び終わった後も10分間サービスがあって、重たい電子ピアノの解体と運び出しをしてくださり、大変助かりました。若い人たちでしたが、感じも良く、安心して任せられました。ただ、あえて残念な点を挙げるとしたら、タンスの中身をそのままハンガーに掛けて運ぶ容器の幾つかが少し汚れていて、そこに服を入れて大丈夫か心配になったので、多分使用する度に清掃はしておられると思いますが、それが綺麗だったら完璧でした。
5925,2020-10-15,全体的には誠実に対応してもらった。,4.25,1,訪問なしの見積もりで済ませるつもりでしたが、結果的には訪問見積してもらって安心して依頼することができました。
5976,2020-10-15,手際が良い,4.25,1,良い点　手際の良さ　悪い点　粗忽　支店によっては　電話対応の悪さも　目立つが　今回も　やむを得ず　ルート経路が　しっかりしている　大手を　選択した
5932,2020-10-15,見積もりから引っ越しまで非常に良かったです。,5.0,1,周りからすぐに決めずに色々と聞いた方が良いと勧められましたが、見積もりの方の対応に感動して即決してしまいました。話が終わって玄関を出た後に、誰もいない玄関に向かってありがとうございましたと頭を下げられる営業の方は出会ったことがないので、自分自身も勉強になりました。
5966,2020-10-16,元気でええ人,4.75,1,仕事もスピーディーでコミュニケーションもしっかりとれ挨拶も元気よくやってくれて気持ちが良かった！！
5924,2020-10-16,てきぱきしている。,4.0,1,積込時のスタッフは養生を丁寧にしてくれた点が良かった。荷下ろしのスタッフは、作業時間優先で少し乱暴な印象で良くなかった。
5967,2020-10-16,大手なので社員教育がしっかりされている印象,5.0,1,【見積もり時の対応】見積もりを出すのに時間がかかるのかなと思ってましたが部屋の中をサクッと見て正確な見積もりを出して頂きました。当日トラックに入らないのでは？と不安がありましたが、そんな不安は全く必要なかったです。あまりクローゼットの中等は見せたくないですが家族構成やクローゼットの大きさを伝える事で分かって頂けた事は、ありがたかったです。訪問見積もり時に新米を頂きました。とても美味しく頂きました。【料金】料金が何で変動するのか細かく説明してくれたので納得して契約する事が出来ました。料金内容も何社か見積もりを出して貰いましたが、一番安かったです。値引き交渉をさせて貰いましたが嫌な顔一つせず上司に掛け合ってみますね。と勉強して頂きました。予想していた費用より大分安くて驚きました。【作業内容】大きな荷物等は梱包できるダンボールも無く、梱包しなくても良いかなと自己判断して置いてた物も「大切な、お荷物が破損したら大変なので。」とダンボールを上手に工夫して梱包してくれました。作業もとても丁寧で早かったです。最後はきちんと自分達の目で傷がないか確認をしてくださいました。【良かった点】破棄しようと思っていた家具を無料でひきとって下さいました。傷が多数あって引き取れない家具は「ゴミ置場まで運びますよ。」と声もかけて下さいました。ダンボールも無料で事前に持って来てくださって助かりました。【気になった点】特にありませんでした。
5961,2020-10-16,丁寧,3.0,1,見積り依頼時にアポ無し訪問だったのが悪いと思いました。その後の対応は良かったです。作業員の方も挨拶等しっかりされていて良かったです。スピードが早いともっと良かったと思います。
5690,2020-10-16,親切丁寧でとても良かった,4.75,1,営業の方の雰囲気、当日対応して下さった方々の対応や、動きなど、とても良く、ありがたかったです。説明と違う点などもなく、安心してお任せする事ができました。大手なので料金なども心配していましたが、値段の交渉などもとても頑張って下さり、希望額近くまでにして頂けました。当日は家具の設置場所など相談した際にも詳しくアドバイスなどもして下さり、とても親切丁寧に対応して下さいました。冷蔵庫や洗濯機の下に敷くシートなども販売されていて、説明ありましたが、無理に購入を勧められる事もなく、追加の料金なども一切かかりませんでした。引っ越し後のフォローもあり、とても良かったです。
