,date,rate,comment,result
3864,2024-04-04,2.5,可もなく不可もなく。特別おすすめしたいとは思いませんでした。,0
3869,2024-04-04,0.5,とにかくしつこい。コールセンターも査定担当者も、言い回しは丁重だが安く買い取る姿勢が見え見え,0
3875,2024-04-04,4.5,登録翌日？の朝位に三番目に来店されました,0
3871,2024-04-04,1.2,事故車と記入していたのに無事故車の査定提示金額でした。時間を無駄に浪費しただけでした。,0
3872,2024-04-04,5.0,対応は丁寧でした。売却までの段取りの説明もわかりやすかったです,1
3874,2024-04-04,5.0,電話も早く担当者の感じも良く売却を決意しました。だい様この度は弊社にご売却いただき誠に有り難うございました！大変程度の良いお車でしたので、精一杯の金額をご提示させていただきました。金額にも、弊社の接客にもご満足いただけ、大変嬉しく思います。是非、またご売却のご要望がありましたらお声がけ下さい！弊社はオイル交換などの整備や板金塗装修理、ドラレコやレーダーの取り付けなどなど、お車に関する事は何でも対応可能ですので、是非、またお声がけ下さい。ご紹介の件も含めて、引き続き末永いお付き合いの程、何卒宜しくお願い致します。,1
3876,2024-04-04,5.0,２番目に訪問していただき、一番単価を高く、提示していただきました,1
3863,2024-04-04,5.0,丁寧にご対応いただき、手続きの代行や取引の連絡もスピーディーで安心できるところでした。,1
3870,2024-04-04,4.7,入電から出張査定、説明まで丁寧で親切でしたのでこちらに決めました。,1
3862,2024-04-04,5.0,他のお店より高く買いとって頂きありがとうございました。又何かあれば宜しくお願い致します。,1
3850,2024-04-04,5.0,今まで複数の車で複数の買取店に査定していただいた経験がありますが、こちらはご担当の方の印象がとても良かったです。ありがちな駆け引きもなく、変に急かせることもなく、売却都合に合わせて明確な提示をしていただけました。しかも査定金額もアップしていただき、最後まで気持ちよく安心して売却することが出来ました。入金もお約束通り、その他のフォローも素晴らしいです。文句の付けようが無かったです。本当にありがとうございました。おぐ様この度は、ご契約していただき誠にありがとうございました。これからも対応頑張らさせて頂きますので、また次の機会がありましたら、宜しくお願い致します。,1
3860,2024-04-04,5.0,査定してくれた方の対応も良く、説明も丁寧で、査定額も納得いくものだった為、即決しました。ありがとうございました。,1
3859,2024-04-04,4.0,対応が迅速でした。どこも同じだと思いますが、次回商談の予定をグイグイ詰めてくるので、少し抵抗はありましたが、最終的には決断を早くできたので良かったです。,1
3858,2024-04-04,5.0,今回この金額しか出来ない。セ-ルス方が頑張ってくれましたが,0
3857,2024-04-04,5.0,当初金額より高くなりました。他社見積もりが良かった為,1
3856,2024-04-04,3.5,対応はとてもよかったです。さいしょにでてた金額まででなかったのが残念でした。,0
3855,2024-04-04,4.7,一番高値を提示してくれました。来てくれた方の対応もとてもよかったです。,1
3854,2024-04-04,3.0,最初に提示された金額、現車確認前が一番低かったので、訪問自体をお断りしました。,0
3853,2024-04-04,4.3,即日査定に来ていただきました。査定も説明も丁寧な対応でした。買取価格や引き渡し方法などで他社さんの方が良い条件でしたので今回は売却に至りませんでした。,0
3852,2024-04-04,5.0,3社で査定いただきましたが、他社よりも数万円以上の差がある買取価格でしたのでこちらに決めさせていただきました。引き渡しまでの対応も丁寧で助かりました。ネットでも会社の情報が少ないのでやや心配でしたが、きちんとお振込みも確認できましたので満足です。一括査定の金額は、誤ってMT車になっていたため参考になりませんでした。(実車はAT車),1
