at,score,content
2022-11-25 01:14:50,1,"Things are changing within Uber Freight! Today 11/24/22 I got stuck in the middle of KY, due to Uber canceling the load. They didn't even call me. When I called their agent, she said that she will send a request to see if the account manager will CONSIDER compensating me for my already wasted time and money, not to mention the lost of family time (Thanksgiving) . Now I have to drive empty 215mi.($) to fulfill my responsibilities with my other customers. I'm extremely disappointed, please fix!"
2022-11-24 02:11:38,5,Very easy to use.
2022-11-21 13:46:26,5,Allow everything good uber Freight good service 👌 I need help need more loads.
2022-11-18 21:32:29,5,Amazing
2022-11-13 15:17:46,1,Took app off after trying to create account never. I was never able to use.
2022-11-07 11:50:55,1,Uber drivers are drug dealers now... Great!
2022-11-03 10:57:44,5,"On offer they give less bid option thats only thing,All in all great 👍"
2022-10-27 02:28:08,5,Very fast
2022-10-24 13:28:57,5,Excellent
2022-10-19 14:28:44,5,Better rates then most brokers.
2022-10-17 14:51:47,5,Best load board app
2022-10-15 20:38:35,5,Professional team
2022-10-15 02:35:11,5,Best team 💙
2022-10-11 22:11:11,2,The app works good but they are just like everybody else when he comes down to payments and detention times and compensation they won't pay up but half the time and if they do they always short you
2022-10-09 13:17:33,4,Great customer service
2022-10-08 00:37:46,5,Super easy to book a load! Love it so far!
2022-10-05 04:39:15,5,Easy to navigate
2022-10-04 17:21:06,5,Great
2022-10-03 04:43:44,5,stay away from this app. you're not going to make any money. Pay per load is unbelievably low. You're better off looking for a broker. even the worst broker pays the best price for loads.
2022-09-28 21:59:01,1,"Very Cheap freight. The service from the foreign people are very bad. Rates constantly being cut on good loads that pay them well. They will under cut other brokers and carriers to screw them. I haul a $1100 load from another broker and the exact same load they have at $735, absolutely a very bad company."
2022-09-22 21:10:58,1,"After SIX two factor authentications to get logged in, y'all thought it was a good idea to ask me how my experience with the app is. Ratings begging is the worst kind of ego stroking, so I hope this one star rating is an appropriate middle finger."
2022-09-08 02:33:24,1,"Bad- the pay is not sufficient to the work, the pay needs to be increased No muevan estás cargas baratas esta gente piensan q nos estamos muriendo de anbre 9/7/22"
2022-09-05 15:12:01,5,Awesome app and experience
2022-09-04 00:24:55,5,Good so far
2022-08-30 11:05:37,2,When there are no issues it's fine..... but when problems arise customer service and problem solving are pretty much nonexistent... you will be waiting for hours and they still will have not resolved issues
2022-08-23 20:25:22,5,👍🏽👍🏽
2022-08-23 12:22:19,4,It's been good operating with great and help me when you in a crisis
2022-08-21 05:24:45,3,Why Require a dot number 🤔 give everyone a chance specially for people that are only driving intrastate only it don't require dot number 🤔 😉 🙄 😏 I am pretty sure app will grow
2022-08-17 13:33:43,5,App is user friendly but not too many options to negotiate. I've done same load that is posted for different rate but I can't ask anyone if they'll do it for that same rate. Just have to keep watching rate go up and down until someone takes it
